,Rmax,RR,LT,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
6381,29,15,6,237.27596781048635,51.385699882970066,97.41300881967342
6382,29,15,7,237.27596781048635,19.89668314214569,106.35874006825667
6383,29,15,8,237.27596781048635,0.0,105.73576334170963
6384,29,15,9,237.27596781048635,0.0,103.5722923890556
6385,29,15,10,237.27596781048635,0.0,100.31061550224126
6386,29,15,11,237.27596781048635,0.0,96.57177493812185
6387,29,15,12,237.27596781048635,0.0,90.22094126445114
6388,29,15,13,237.27596781048635,0.0,80.39265085288727
6389,29,15,14,237.27596781048635,0.0,72.94895594925994
6390,29,14,0,237.27757853412123,237.27757853412123,237.1511418729986
6391,29,14,1,237.27757853412123,180.62860833619015,191.26011149280805
6392,29,14,2,237.27757853412123,147.69875527119422,155.49977295025164
6393,29,14,3,237.27757853412123,121.61851336809733,149.66399965285922
6394,29,14,4,237.27757853412123,100.75798982038525,136.4992668117459
6395,29,14,5,237.27757853412123,75.76289526056853,111.19338017387282
6396,29,14,6,237.27757853412123,52.93082615173686,99.89008876027924
6397,29,14,7,237.27757853412123,21.998469584159366,105.95730407574558
6398,29,14,8,237.27757853412123,0.0,104.7238548840692
6399,29,14,9,237.27757853412123,0.0,102.92235768482813
6400,29,14,10,237.27757853412123,0.0,97.65684564134258
6401,29,14,11,237.27757853412123,0.0,95.86159419063281
6402,29,14,12,237.27757853412123,0.0,80.18019110742785
6403,29,14,13,237.27757853412123,0.0,76.69487656102365
6404,29,14,14,237.27757853412123,0.0,71.6151240544374
6405,29,13,0,237.51629698569397,237.51629698569397,237.89756305519947
6406,29,13,1,237.51629698569397,181.14877311337855,192.99684682140656
6407,29,13,2,237.51629698569397,147.22230912308856,157.4093695156551
6408,29,13,3,237.51629698569397,121.0250516807947,151.61594650361872
6409,29,13,4,237.51629698569397,100.06250333696903,134.46782053984344
6410,29,13,5,237.51629698569397,75.32992850768788,107.19131636698559
6411,29,13,6,237.51629698569397,54.173317885694146,102.14079468121827
6412,29,13,7,237.51629698569397,23.802982873735132,104.8339298929179
6413,29,13,8,237.51629698569397,0.0,103.97203517642556
6414,29,13,9,237.51629698569397,0.0,100.66955570777122
6415,29,13,10,237.51629698569397,0.0,95.04098361007607
6416,29,13,11,237.51629698569397,0.0,90.0330428473915
6417,29,13,12,237.51629698569397,0.0,76.16868648752184
6418,29,13,13,237.51629698569397,0.0,72.21424583434168
6419,29,13,14,237.51629698569397,0.0,69.44896614658762
6420,29,12,0,238.5916936537975,238.5916936537975,238.90293212674246
6421,29,12,1,238.5916936537975,182.2253373460344,194.7313228280427
6422,29,12,2,238.5916936537975,146.68035897564948,159.06162145774482
6423,29,12,3,238.5916936537975,120.80613379828989,153.00732632070816
6424,29,12,4,238.5916936537975,99.23915080947341,127.51606940692668
6425,29,12,5,238.5916936537975,76.02480922602388,107.98455785935678
6426,29,12,6,238.5916936537975,55.104591015864806,105.09972229635059
6427,29,12,7,238.5916936537975,25.25194295745213,101.82029770937208
6428,29,12,8,238.5916936537975,0.0,103.27549548788042
6429,29,12,9,238.5916936537975,0.0,93.74412627906668
6430,29,12,10,238.5916936537975,0.0,90.80505857697908
6431,29,12,11,238.5916936537975,0.0,82.9507081867136
6432,29,12,12,238.5916936537975,0.0,75.01503287974211
6433,29,12,13,238.5916936537975,0.0,68.9249876057145
6434,29,12,14,238.5916936537975,0.0,68.66927369407995
6435,29,11,0,240.5647680766133,240.5647680766133,240.72488182544248
6436,29,11,1,240.5647680766133,184.2654431974701,196.467336048398
6437,29,11,2,240.5647680766133,146.14509154354954,159.27843252712614
6438,29,11,3,240.5647680766133,121.18748728339565,150.32767264628518
6439,29,11,4,240.5647680766133,98.17867343389236,124.23572260210739
6440,29,11,5,240.5647680766133,77.1183387168501,109.02600340037509
6441,29,11,6,240.5647680766133,56.01373887202278,108.02224301613401
6442,29,11,7,240.5647680766133,26.37810787737216,103.67893769056725
6443,29,11,8,240.5647680766133,0.0,99.85939983301401
6444,29,11,9,240.5647680766133,0.0,93.50827658670173
6445,29,11,10,240.5647680766133,0.0,85.8203509473557
6446,29,11,11,240.5647680766133,0.0,80.24008526251774
6447,29,11,12,240.5647680766133,0.0,70.05128565813409
6448,29,11,13,240.5647680766133,0.0,67.58748860404688
6449,29,11,14,240.5647680766133,0.0,69.20502669070275
6450,29,10,0,243.740405617881,243.740405617881,243.94056406600265
6451,29,10,1,243.740405617881,187.39097117218046,198.23097262602963
6452,29,10,2,243.740405617881,146.6785245056811,159.39671539360143
6453,29,10,3,243.740405617881,121.5597865585427,145.62142988390013
6454,29,10,4,243.740405617881,97.27513490055367,130.08294604917927
6455,29,10,5,243.740405617881,78.12540755698507,110.48389493098105
6456,29,10,6,243.740405617881,56.80897586965694,110.42017173684604
6457,29,10,7,243.740405617881,27.991548586458713,101.88129306347872
6458,29,10,8,243.740405617881,0.0,99.99311293126647
6459,29,10,9,243.740405617881,0.0,90.85688210767788
6460,29,10,10,243.740405617881,0.0,83.44057132412473
6461,29,10,11,243.740405617881,0.0,76.13690210039388
6462,29,10,12,243.740405617881,0.0,74.45376466936189
6463,29,10,13,243.740405617881,0.0,72.71199032120813
6464,29,10,14,243.740405617881,0.0,72.03831908264098
6465,29,9,0,247.24146866819927,247.24146866819927,247.46382108530528
6466,29,9,1,247.24146866819927,190.87040410352873,202.92880033709133
6467,29,9,2,247.24146866819927,148.11636047102076,160.0629384178559
6468,29,9,3,247.24146866819927,121.57758838249919,141.1191590016531
6469,29,9,4,247.24146866819927,96.79485962495409,138.05005637345573
6470,29,9,5,247.24146866819927,78.53954499036722,112.76175717455926
6471,29,9,6,247.24146866819927,56.81755016190683,115.4365126706242
6472,29,9,7,247.24146866819927,30.90914468365775,101.08990266585607
6473,29,9,8,247.24146866819927,0.0,102.92008842952785
6474,29,9,9,247.24146866819927,0.0,84.62442475455676
6475,29,9,10,247.24146866819927,0.0,81.32690174344529
6476,29,9,11,247.24146866819927,0.0,78.40737949004225
6477,29,9,12,247.24146866819927,0.0,81.24311799127332
6478,29,9,13,247.24146866819927,0.0,80.81793232921258
6479,29,9,14,247.24146866819927,0.0,76.47784887749029
6480,29,8,0,251.83782299535204,251.83782299535204,251.94401261022688
6481,29,8,1,251.83782299535204,195.469954616495,210.01157917398749
6482,29,8,2,251.83782299535204,150.0359705452114,162.69705745723405
6483,29,8,3,251.83782299535204,121.61840453143796,140.65245107351058
6484,29,8,4,251.83782299535204,96.7373012381837,139.01902799563868
6485,29,8,5,251.83782299535204,78.68661419410083,108.72532806765952
6486,29,8,6,251.83782299535204,55.55386771822873,119.14413645206605
6487,29,8,7,251.83782299535204,31.664765628885647,108.48056308624582
6488,29,8,8,251.83782299535204,1.3555190059817688,102.24809445346997
6489,29,8,9,251.83782299535204,0.0,84.38434870030176
6490,29,8,10,251.83782299535204,0.0,78.21296248232791
6491,29,8,11,251.83782299535204,0.0,79.22930751833148
6492,29,8,12,251.83782299535204,0.0,88.47679465065107
6493,29,8,13,251.83782299535204,0.0,76.71371264922945
6494,29,8,14,251.83782299535204,0.0,77.05619797315407
6495,29,7,0,256.3536436039288,256.3536436039288,256.3596248495774
6496,29,7,1,256.3536436039288,200.01220414856422,217.20978905151696
6497,29,7,2,256.3536436039288,153.49578295068034,169.8423832579499
6498,29,7,3,256.3536436039288,121.9250057385838,141.2954059827105
6499,29,7,4,256.3536436039288,99.62527545854371,142.69460328271094
6500,29,7,5,256.3536436039288,79.41257827472057,108.3219534541831
6501,29,7,6,256.3536436039288,57.645885058858426,117.40183625145133
6502,29,7,7,256.3536436039288,33.713389884658255,121.12364698068941
6503,29,7,8,256.3536436039288,3.2734203240941824,97.05240262797756
6504,29,7,9,256.3536436039288,0.0,92.75569898484383
6505,29,7,10,256.3536436039288,0.0,90.13233919906534
6506,29,7,11,256.3536436039288,0.0,87.60831913502359
6507,29,7,12,256.3536436039288,0.0,87.87237809361017
6508,29,7,13,256.3536436039288,0.0,83.08929954217378
6509,29,7,14,256.3536436039288,0.0,82.74552162819268
6510,29,6,0,262.5546355116897,262.5546355116897,262.5546356088494
6511,29,6,1,262.5546355116897,206.4383756856994,225.56933083100708
6512,29,6,2,262.5546355116897,157.07747950685393,179.9546028699916
6513,29,6,3,262.5546355116897,123.09562937002687,144.6761660568551
6514,29,6,4,262.5546355116897,101.96411342327472,144.28455117223967
6515,29,6,5,262.5546355116897,79.97502268970968,121.09363990146349
6516,29,6,6,262.5546355116897,59.82494808335104,126.17650413945168
6517,29,6,7,262.5546355116897,34.59564708279626,119.23253474634524
6518,29,6,8,262.5546355116897,7.871558210592674,111.54995929877887
6519,29,6,9,262.5546355116897,0.0,110.52448407962278
6520,29,6,10,262.5546355116897,0.0,108.41618526823953
