,Rmax,RR,NL,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
354,18,7,9,191.28887326101332,0.0,26.15764912732503
355,18,7,10,191.28887326101332,0.0,22.186866270054125
356,18,7,11,191.28887326101332,0.0,21.14859291513293
357,18,7,12,191.28887326101332,0.0,20.328586296278054
358,18,7,13,191.28887326101332,0.0,19.67278963709971
359,18,7,14,191.28887326101332,0.0,15.29511429597163
360,18,6,0,192.3560327341828,192.3560327341828,192.35603273428592
361,18,6,1,192.3560327341828,157.42809890867287,169.08908277461217
362,18,6,2,192.3560327341828,135.85363110585934,138.56772653671425
363,18,6,3,192.3560327341828,118.21676580274229,117.30116469576959
364,18,6,4,192.3560327341828,98.8103896395934,122.72615158370245
365,18,6,5,192.3560327341828,77.58527791596921,96.46433963502685
366,18,6,6,192.3560327341828,55.877014699336215,69.01636450267789
367,18,6,7,192.3560327341828,34.53121201492529,52.626717816013546
368,18,6,8,192.3560327341828,10.010519706761997,38.1398443516039
369,18,6,9,192.3560327341828,0.0,31.70314237398256
370,18,6,10,192.3560327341828,0.0,27.075321797490552
371,18,6,11,192.3560327341828,0.0,27.366851237420953
372,18,6,12,192.3560327341828,0.0,25.52819219825725
373,18,6,13,192.3560327341828,0.0,25.045827678182505
374,18,6,14,192.3560327341828,0.0,18.29785376352286
375,18,5,0,198.0145531979926,198.0145531979926,198.10816334541553
376,18,5,1,198.0145531979926,163.01944238816293,176.64787076275405
377,18,5,2,198.0145531979926,137.43792505078488,141.8344745883575
378,18,5,3,198.0145531979926,120.01104766957877,126.15094051631577
379,18,5,4,198.0145531979926,102.97008817533163,114.68452920884071
380,18,5,5,198.0145531979926,81.74837751320682,92.65759732952392
381,18,5,6,198.0145531979926,57.89608637209452,71.8118872047792
382,18,5,7,198.0145531979926,38.07646008271951,56.01634574204612
383,18,5,8,198.0145531979926,14.465504290953909,46.60206396104766
384,18,5,9,198.0145531979926,0.0,41.79808984980548
385,18,5,10,198.0145531979926,0.0,31.709671328129104
386,18,5,11,198.0145531979926,0.0,31.05818690417039
387,18,5,12,198.0145531979926,0.0,31.213164689642475
388,18,5,13,198.0145531979926,0.0,23.8685977302502
389,18,5,14,198.0145531979926,0.0,20.29418172021417
390,18,4,0,204.72807241208545,204.72807241208545,204.73826211745055
391,18,4,1,204.72807241208545,169.73323123113607,184.67983369377296
392,18,4,2,204.72807241208545,139.8343791256555,155.18287896150989
393,18,4,3,204.72807241208545,123.46161459387568,149.882728380475
394,18,4,4,204.72807241208545,106.4118083844407,122.53611419454418
395,18,4,5,204.72807241208545,87.76831553229572,89.89978409392438
396,18,4,6,204.72807241208545,66.08769449000043,58.771222650054455
397,18,4,7,204.72807241208545,42.986332455280596,65.28066976613069
398,18,4,8,204.72807241208545,19.033467094166575,60.283901143723895
399,18,4,9,204.72807241208545,0.0,52.79598167441784
400,18,4,10,204.72807241208545,0.0,47.8359925745581
401,18,4,11,204.72807241208545,0.0,39.45821118743006
402,18,4,12,204.72807241208545,0.0,39.833046761149255
403,18,4,13,204.72807241208545,0.0,36.95998973427961
404,18,4,14,204.72807241208545,0.0,27.78320319878368
405,18,3,0,217.08567185315064,217.08567185315064,217.11850002251768
406,18,3,1,217.08567185315064,182.10946605704584,198.04474341560658
407,18,3,2,217.08567185315064,152.7145395118844,186.05194474897706
408,18,3,3,217.08567185315064,130.50916244850956,149.50664468446269
409,18,3,4,217.08567185315064,114.52391515662724,145.26922709302005
410,18,3,5,217.08567185315064,96.4051474980241,93.36164302511602
411,18,3,6,217.08567185315064,76.59860513427131,82.69788448427695
412,18,3,7,217.08567185315064,52.99345950711803,83.06984235439529
413,18,3,8,217.08567185315064,26.667309074465926,78.03929348512969
414,18,3,9,217.08567185315064,0.0,75.42284880105129
415,18,3,10,217.08567185315064,0.0,58.211236622536525
416,18,3,11,217.08567185315064,0.0,63.16989875349804
417,18,3,12,217.08567185315064,0.0,57.534445867471966
418,18,3,13,217.08567185315064,0.0,56.99725529609455
419,18,3,14,217.08567185315064,0.0,54.33834549552862
420,18,2,0,236.10389736882462,236.10389736882462,235.60451008858251
421,18,2,1,236.10389736882462,209.54690832610166,227.01025443151437
422,18,2,2,236.10389736882462,187.86882856851096,215.31978569274582
423,18,2,3,236.10389736882462,160.92584716415766,165.85635216314031
424,18,2,4,236.10389736882462,135.7858016450249,159.37653668170893
425,18,2,5,236.10389736882462,117.49447947353045,121.32722000761484
426,18,2,6,236.10389736882462,96.63509225077955,127.0446210116954
427,18,2,7,236.10389736882462,73.67979927640593,111.84123931662754
428,18,2,8,236.10389736882462,48.62217145508842,94.6097377988394
429,18,2,9,236.10389736882462,23.190144492101304,91.87005589204844
430,18,2,10,236.10389736882462,1.16429751870048,92.72721095919177
431,18,2,11,236.10389736882462,0.0,93.43138260075276
432,18,2,12,236.10389736882462,0.0,73.70143623449209
433,18,2,13,236.10389736882462,0.0,79.83929131486637
434,18,2,14,236.10389736882462,0.0,81.59058444446046
435,18,1,0,262.37797827722227,262.37797827722227,262.07279246469363
436,18,1,1,262.37797827722227,243.86969034156147,245.25352118003454
437,18,1,2,262.37797827722227,230.56062867909912,228.68434740798773
438,18,1,3,262.37797827722227,216.85482057271165,212.47072183145752
439,18,1,4,262.37797827722227,198.83188237189972,196.38508928582837
440,18,1,5,262.37797827722227,180.20902714686008,165.1831081835266
441,18,1,6,262.37797827722227,159.0348609621877,166.63462614625112
442,18,1,7,262.37797827722227,138.27391060344996,164.85278200077948
443,18,1,8,262.37797827722227,118.39428874565088,161.6822237937048
444,18,1,9,262.37797827722227,100.22121162217404,132.21253723380434
445,18,1,10,262.37797827722227,83.5530347218255,145.69869195981283
446,18,1,11,262.37797827722227,68.73502437241383,151.89501847583276
447,18,1,12,262.37797827722227,54.75117621562736,142.66277006401964
448,18,1,13,262.37797827722227,34.918134862553565,152.14251929032068
449,18,1,14,262.37797827722227,52.646071050566235,135.1817369725499
450,17,10,0,193.34814924475853,193.34814924475853,193.69362827473816
451,17,10,1,193.34814924475853,160.1832161757145,169.93026131464237
452,17,10,2,193.34814924475853,139.2328855387784,142.00602618020332
453,17,10,3,193.34814924475853,120.32543726378307,123.29246723569551
